62.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:02:37.2 (2611895)|USER_INFO|[EXTERNAL]|005dt000001XVIz|request@00ddt000000hsbbea4.org.force.com|(GMT+00:00) heure moyenne de Greenwich (GMT)|GMTZ
10:02:37.2 (2664819)|EXECUTION_STARTED
10:02:37.2 (2686292)|CODE_UNIT_STARTED|[EXTERNAL]|apex://SM002_Request/ACTION$createRequest
10:02:37.2 (9890666)|HEAP_ALLOCATE|[93]|Bytes:3
10:02:37.2 (9989730)|HEAP_ALLOCATE|[98]|Bytes:152
10:02:37.2 (10005448)|HEAP_ALLOCATE|[415]|Bytes:408
10:02:37.2 (10017441)|HEAP_ALLOCATE|[428]|Bytes:408
10:02:37.2 (10026258)|HEAP_ALLOCATE|[536]|Bytes:48
10:02:37.2 (10048071)|HEAP_ALLOCATE|[247]|Bytes:6
10:02:37.2 (10059153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:376
10:02:37.2 (10063503)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:63
10:02:37.2 (10069586)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (10074843)|VARIABLE_SCOPE_BEGIN|[166]|this|SM002_Request.FormDataWrapper|true|false
10:02:37.2 (10158314)|VARIABLE_ASSIGNMENT|[166]|this|{}|0x42ab9d0
10:02:37.2 (10166944)|STATEMENT_EXECUTE|[134]
10:02:37.2 (10168239)|STATEMENT_EXECUTE|[136]
10:02:37.2 (10169573)|STATEMENT_EXECUTE|[138]
10:02:37.2 (10170427)|STATEMENT_EXECUTE|[140]
10:02:37.2 (10171224)|STATEMENT_EXECUTE|[142]
10:02:37.2 (10172117)|STATEMENT_EXECUTE|[144]
10:02:37.2 (10172920)|STATEMENT_EXECUTE|[146]
10:02:37.2 (10173924)|STATEMENT_EXECUTE|[148]
10:02:37.2 (10174674)|STATEMENT_EXECUTE|[150]
10:02:37.2 (10175759)|STATEMENT_EXECUTE|[152]
10:02:37.2 (10176633)|STATEMENT_EXECUTE|[154]
10:02:37.2 (10177417)|STATEMENT_EXECUTE|[156]
10:02:37.2 (10178195)|STATEMENT_EXECUTE|[158]
10:02:37.2 (10178944)|STATEMENT_EXECUTE|[160]
10:02:37.2 (10179691)|STATEMENT_EXECUTE|[162]
10:02:37.2 (10180434)|STATEMENT_EXECUTE|[164]
10:02:37.2 (10185425)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
10:02:37.2 (13111536)|STATEMENT_EXECUTE|[166]
10:02:37.2 (13144669)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:02:37.2 (13261434)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:02:37.2 (13265469)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13282770)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.filesCase|[]|0x42ab9d0
10:02:37.2 (13299371)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:02:37.2 (13301391)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13308579)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.firstName|"azaz"|0x42ab9d0
10:02:37.2 (13316917)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:02:37.2 (13318913)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13322251)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.lastName|"azaaz"|0x42ab9d0
10:02:37.2 (13329921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:02:37.2 (13331541)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13334685)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.company|"azaza"|0x42ab9d0
10:02:37.2 (13342477)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
10:02:37.2 (13344263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13348913)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.email|"med.oussama.boussabn (12 more) ..."|0x42ab9d0
10:02:37.2 (13356917)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13360645)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.phone|""|0x42ab9d0
10:02:37.2 (13369010)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:02:37.2 (13370722)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13373617)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.complaintSubject|"test"|0x42ab9d0
10:02:37.2 (13381300)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13384537)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.lifeNoLife|""|0x42ab9d0
10:02:37.2 (13392517)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13395710)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.requestReason|""|0x42ab9d0
10:02:37.2 (13404716)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13407727)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.type|""|0x42ab9d0
10:02:37.2 (13415361)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13418415)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.branchRisk|""|0x42ab9d0
10:02:37.2 (13425760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13428755)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.areaRegion|""|0x42ab9d0
10:02:37.2 (13436200)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13439017)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.complaintReason|""|0x42ab9d0
10:02:37.2 (13446141)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (13449035)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.otherRaison|""|0x42ab9d0
10:02:37.2 (14805678)|CODE_UNIT_STARTED|[EXTERNAL]|01pdt0000003lvF|SM002_Request.createRequest(SM002_Request.FormDataWrapper)
10:02:37.2 (14932493)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
10:02:37.2 (14937412)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
10:02:37.2 (14939777)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:02:37.2 (14948155)|METHOD_ENTRY|[8]|01pdt0000003lvF|SM002_Request.SM002_Request()
10:02:37.2 (14951879)|STATEMENT_EXECUTE|[8]
10:02:37.2 (14955651)|STATEMENT_EXECUTE|[8]
10:02:37.2 (14972009)|HEAP_ALLOCATE|[68]|Bytes:5
10:02:37.2 (14995533)|HEAP_ALLOCATE|[74]|Bytes:5
10:02:37.2 (15001031)|HEAP_ALLOCATE|[82]|Bytes:7
10:02:37.2 (15015391)|SYSTEM_MODE_ENTER|true
10:02:37.2 (15024882)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:02:37.2 (15027421)|STATEMENT_EXECUTE|[125]
10:02:37.2 (15028504)|STATEMENT_EXECUTE|[134]
10:02:37.2 (15029521)|STATEMENT_EXECUTE|[183]
10:02:37.2 (15032890)|SYSTEM_MODE_EXIT|true
10:02:37.2 (15039729)|METHOD_EXIT|[8]|SM002_Request
10:02:37.2 (15042945)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
10:02:37.2 (15046253)|VARIABLE_SCOPE_BEGIN|[11]|formData|SM002_Request.FormDataWrapper|true|false
